Observed_Date,Temp_Celsius,Wind_Speed,Wind_Direction,Cover,Visibility
2023-03-01T00:53:00Z,2.2,3,160,OVC,10
2023-03-01T01:53:00Z,1.1,6,130,OVC,10
2023-03-01T02:53:00Z,1.7,5,100,OVC,10
2023-03-01T04:48:00Z,1,9,130,OVC,8
2023-03-01T04:53:00Z,0.6,9,130,OVC,9
2023-03-01T05:53:00Z,0,7,90,OVC,4
2023-03-01T07:30:00Z,0,9,90,OVC,9
2023-03-01T07:53:00Z,0,8,90,OVC,10
2023-03-01T08:53:00Z,0,9,110,OVC,10
2023-03-01T10:18:00Z,0,9,120,OVC,10
2023-03-01T11:25:00Z,0,12,120,OVC,10
2023-03-01T12:33:00Z,0,11,130,OVC,2
2023-03-01T13:33:00Z,0.6,13,130,OVC,8
2023-03-01T13:53:00Z,0.6,10,150,OVC,10
2023-03-01T15:12:00Z,1.7,7,160,OVC,9
2023-03-01T16:15:00Z,2.2,9,160,OVC,10
2023-03-01T16:53:00Z,2.2,5,150,OVC,10
2023-03-01T18:50:00Z,2,7,250,OVC,8
2023-03-01T19:10:00Z,1.7,7,230,OVC,9
2023-03-01T19:53:00Z,1.7,8,240,OVC,9
2023-03-01T21:38:00Z,0.6,12,350,OVC,5
2023-03-01T21:53:00Z,0.6,13,350,OVC,6
2023-03-01T22:53:00Z,-0.6,15,350,OVC,10
2023-03-02T00:11:00Z,-1.7,18,10,OVC,10
2023-03-02T00:53:00Z,-2.2,12,360,OVC,10
2023-03-02T02:33:00Z,-3.3,14,340,OVC,10
2023-03-02T02:53:00Z,-3.9,14,350,OVC,10
2023-03-02T03:53:00Z,-4.4,16,360,OVC,10
2023-03-02T04:53:00Z,-4.4,15,10,OVC,10
2023-03-02T05:53:00Z,-4.4,10,30,OVC,10
2023-03-02T06:53:00Z,-5,9,10,OVC,10
2023-03-02T07:53:00Z,-5.6,8,50,OVC,10
2023-03-02T08:53:00Z,-6.1,5,350,OVC,10
2023-03-02T10:12:00Z,-7.2,6,340,SCT,10
2023-03-02T11:51:00Z,-8,6,10,BKN,10
2023-03-02T11:53:00Z,-8.3,7,20,OVC,10
2023-03-02T12:53:00Z,-7.8,7,90,OVC,10
2023-03-02T13:58:00Z,-7.8,6,90,OVC,10
2023-03-02T15:45:00Z,-7.2,0,0,OVC,10
2023-03-02T15:53:00Z,-6.7,4,130,OVC,10
2023-03-02T16:53:00Z,-6.1,4,200,OVC,10
2023-03-02T18:18:00Z,-4.4,6,170,OVC,10
2023-03-02T18:53:00Z,-4.4,4,180,BKN,10
2023-03-02T20:38:00Z,-2.8,5,140,BKN,10
2023-03-02T20:53:00Z,-2.8,7,160,BKN,10
2023-03-02T22:51:00Z,-3,8,130,BKN,10
2023-03-02T22:53:00Z,-2.8,8,140,BKN,10
2023-03-02T23:53:00Z,-3.3,9,130,BKN,10
2023-03-03T01:01:00Z,-3.3,7,160,OVC,10
2023-03-03T01:53:00Z,-3.3,9,150,OVC,10
2023-03-03T02:53:00Z,-3.3,10,170,OVC,10
2023-03-03T03:53:00Z,-2.8,11,190,OVC,10
2023-03-03T04:53:00Z,-2.2,9,200,OVC,10
2023-03-03T05:53:00Z,-2.8,5,210,OVC,10
2023-03-03T07:24:00Z,-2.8,4,210,BKN,10
2023-03-03T08:43:00Z,-3.3,0,0,OVC,10
2023-03-03T08:53:00Z,-3.3,4,180,OVC,10
2023-03-03T09:53:00Z,-3.9,4,130,BKN,10
2023-03-03T10:53:00Z,-3.9,5,150,OVC,8
2023-03-03T12:46:00Z,-5.6,5,150,OVC,1
2023-03-03T13:19:00Z,-5.6,3,130,OVX,0.5
2023-03-03T14:17:00Z,-5.6,3,130,OVC,1
2023-03-03T15:05:00Z,-5,5,70,OVC,2
2023-03-03T16:23:00Z,-3.3,0,0,OVC,7
2023-03-03T16:53:00Z,-2.2,4,160,OVC,10
2023-03-03T17:53:00Z,0.6,5,160,BKN,10
2023-03-03T18:53:00Z,1.7,3,180,BKN,10
2023-03-03T19:53:00Z,2.8,0,0,BKN,10
2023-03-03T20:53:00Z,3.9,0,0,BKN,10
2023-03-03T21:53:00Z,4.4,5,250,BKN,10
2023-03-03T22:53:00Z,4.4,6,260,BKN,10
2023-03-03T23:53:00Z,3.9,4,240,SCT,10
2023-03-04T00:53:00Z,2.2,5,250,FEW,10
2023-03-04T01:53:00Z,1.1,5,260,FEW,10
2023-03-04T02:53:00Z,0,6,270,FEW,9
2023-03-04T03:53:00Z,-0.6,7,270,SCT,9
2023-03-04T04:53:00Z,-1.1,3,250,SCT,8
2023-03-04T05:53:00Z,-0.6,4,240,BKN,8
2023-03-04T06:53:00Z,-1.1,5,240,SCT,8
2023-03-04T07:53:00Z,-1.7,3,220,SCT,7
2023-03-04T08:53:00Z,-2.2,3,230,FEW,7
2023-03-04T09:53:00Z,-2.8,0,0,BKN,6
2023-03-04T10:53:00Z,-3.3,3,220,FEW,5
2023-03-04T11:53:00Z,-3.3,4,230,SCT,5
2023-03-04T12:53:00Z,-3.3,0,0,BKN,7
2023-03-04T13:53:00Z,-2.8,0,0,BKN,6
2023-03-04T14:53:00Z,-2.2,3,230,OVC,8
2023-03-04T15:53:00Z,-1.7,8,230,OVC,10
2023-03-04T16:53:00Z,-0.6,9,270,OVC,10
2023-03-04T17:53:00Z,1.1,5,260,OVC,10
2023-03-04T18:53:00Z,2.2,6,240,OVC,10
2023-03-04T19:53:00Z,2.8,10,300,BKN,10
2023-03-04T20:53:00Z,3.3,7,260,BKN,10
2023-03-04T21:53:00Z,2.8,10,270,BKN,10
2023-03-04T22:53:00Z,2.2,10,270,SCT,10
2023-03-04T23:53:00Z,1.7,9,250,FEW,10
2023-03-05T00:53:00Z,0,6,270,CLR,10
2023-03-05T01:53:00Z,-1.1,4,250,CLR,10
2023-03-05T02:53:00Z,-2.2,5,240,CLR,10
2023-03-05T03:53:00Z,-2.8,0,0,CLR,10
2023-03-05T04:53:00Z,-3.9,3,230,CLR,10
2023-03-05T05:53:00Z,-4.4,0,0,CLR,10
2023-03-05T06:53:00Z,-5,3,230,CLR,10
2023-03-05T07:53:00Z,-5,4,220,CLR,10
2023-03-05T08:53:00Z,-5.6,0,0,FEW,10
2023-03-05T09:53:00Z,-6.1,0,0,SCT,10
2023-03-05T10:53:00Z,-6.7,0,0,SCT,10
2023-03-05T11:53:00Z,-6.7,4,120,FEW,7
2023-03-05T12:53:00Z,-6.1,3,60,FEW,7
2023-03-05T13:53:00Z,-5.6,3,140,OVC,7
2023-03-05T14:53:00Z,-4.4,4,140,OVC,10
2023-03-05T15:53:00Z,-2.2,8,120,BKN,10
2023-03-05T16:53:00Z,0,9,120,BKN,10
2023-03-05T17:53:00Z,2.2,13,120,BKN,10
2023-03-05T18:53:00Z,2.8,12,110,OVC,10
2023-03-05T19:53:00Z,3.3,11,110,OVC,10
2023-03-05T20:53:00Z,3.3,8,100,OVC,10
2023-03-05T21:53:00Z,3.3,14,80,OVC,10
2023-03-05T23:49:00Z,2,16,120,OVC,1
2023-03-06T00:36:00Z,0.6,7,80,OVC,2.5
2023-03-06T01:01:00Z,0.6,9,60,OVC,2
2023-03-06T02:46:00Z,0.6,11,60,OVX,1
2023-03-06T02:53:00Z,0.6,12,50,OVX,1
2023-03-06T03:53:00Z,0.6,10,50,OVX,1
2023-03-06T05:15:00Z,0.6,14,60,OVX,0.75
2023-03-06T06:34:00Z,0,12,60,OVC,3
2023-03-06T07:09:00Z,0.6,13,70,OVC,10
2023-03-06T07:53:00Z,0.6,12,70,OVC,10
2023-03-06T08:53:00Z,0.6,13,60,OVC,8
2023-03-06T10:24:00Z,0,10,30,OVC,4
2023-03-06T11:27:00Z,0,10,40,OVC,4
2023-03-06T12:01:00Z,0,8,30,OVC,6
2023-03-06T13:38:00Z,0,10,360,OVC,4
2023-03-06T14:27:00Z,0,10,10,OVC,3
2023-03-06T14:53:00Z,0,9,10,OVC,3
2023-03-06T16:01:00Z,0.6,11,360,OVC,5
2023-03-06T16:53:00Z,0.6,10,10,OVC,4
2023-03-06T18:34:00Z,2.2,12,20,OVC,9
2023-03-06T19:18:00Z,2.2,15,30,OVC,10
2023-03-06T19:53:00Z,2.2,9,10,OVC,10
2023-03-06T20:53:00Z,2.2,13,10,OVC,10
2023-03-06T21:53:00Z,2.2,11,20,OVC,10
2023-03-06T23:12:00Z,1.7,11,350,BKN,10
2023-03-07T00:21:00Z,1.7,9,360,BKN,10
2023-03-07T00:53:00Z,1.1,9,10,SCT,10
