Observed_Date,Temp_Celsius,Wind_Speed,Wind_Direction,Cover,Visibility
2022-12-27T02:53:00Z,-15.6,5,220,BKN,10
2022-12-27T02:53:00Z,-15.6,5,220,BKN,10
2022-12-27T03:53:00Z,-16.1,5,200,SCT,10
2022-12-27T04:53:00Z,-16.1,0,0,BKN,10
2022-12-27T05:53:00Z,-16.1,6,180,BKN,10
2022-12-27T06:53:00Z,-16.1,5,170,BKN,10
2022-12-27T07:53:00Z,-16.1,7,150,OVC,10
2022-12-27T08:53:00Z,-15,7,160,OVC,10
2022-12-27T09:53:00Z,-13.9,7,130,BKN,10
2022-12-27T10:53:00Z,-13.3,9,150,OVC,10
2022-12-27T11:53:00Z,-12.2,9,160,OVC,10
2022-12-27T12:53:00Z,-11.7,9,170,SCT,10
2022-12-27T13:53:00Z,-11.7,9,150,BKN,10
2022-12-27T14:53:00Z,-9.4,13,170,BKN,10
2022-12-27T15:53:00Z,-8.3,8,180,BKN,10
2022-12-27T15:53:00Z,-8.3,8,180,BKN,10
2022-12-27T15:53:00Z,-8.3,8,180,BKN,10
2022-12-27T15:53:00Z,-8.3,8,180,BKN,10
2022-12-27T16:53:00Z,-7.8,13,170,BKN,10
2022-12-27T17:53:00Z,-6.7,9,170,BKN,10
2022-12-27T18:53:00Z,-4.4,10,200,BKN,10
2022-12-27T19:53:00Z,-4.4,12,200,BKN,10
2022-12-27T20:53:00Z,-3.9,13,190,BKN,10
2022-12-27T21:53:00Z,-4.4,15,170,BKN,10
2022-12-27T22:53:00Z,-4.4,13,170,BKN,10
2022-12-27T23:53:00Z,-5.6,10,160,BKN,10
2022-12-28T00:53:00Z,-5.6,10,160,BKN,10
2022-12-28T01:53:00Z,-6.1,10,150,SCT,10
2022-12-28T02:53:00Z,-6.1,9,160,SCT,10
2022-12-28T03:53:00Z,-5.6,9,150,SCT,10
2022-12-28T04:53:00Z,-4.4,8,160,SCT,10
2022-12-28T05:53:00Z,-3.3,10,160,BKN,10
2022-12-28T06:53:00Z,-3.3,9,150,BKN,10
2022-12-28T07:53:00Z,-2.8,11,150,BKN,10
2022-12-28T08:53:00Z,-2.2,8,150,BKN,10
2022-12-28T09:53:00Z,-2.8,8,130,BKN,10
2022-12-28T10:53:00Z,-2.8,10,140,BKN,10
2022-12-28T11:53:00Z,-2.2,8,140,OVC,10
2022-12-28T12:53:00Z,-1.7,8,140,BKN,10
2022-12-28T13:53:00Z,-1.7,10,150,OVC,10
2022-12-28T14:53:00Z,-0.6,7,160,OVC,10
2022-12-28T15:53:00Z,0,7,150,OVC,10
2022-12-28T16:53:00Z,1.1,8,160,OVC,10
2022-12-28T17:53:00Z,1.7,11,170,OVC,10
2022-12-28T18:53:00Z,1.7,5,170,OVC,10
2022-12-28T19:53:00Z,2.8,8,170,OVC,10
2022-12-28T20:53:00Z,2.8,10,160,OVC,10
2022-12-28T21:53:00Z,2.8,8,170,OVC,10
2022-12-28T22:53:00Z,2.2,9,160,OVC,10
2022-12-28T23:53:00Z,2.2,5,160,OVC,10
2022-12-29T00:53:00Z,1.7,5,160,OVC,10
2022-12-29T01:53:00Z,1.7,7,160,OVC,10
2022-12-29T02:53:00Z,2.2,6,170,OVC,10
2022-12-29T03:53:00Z,2.2,5,160,OVC,10
2022-12-29T04:53:00Z,2.2,4,150,OVC,10
2022-12-29T05:53:00Z,1.7,8,150,OVC,10
2022-12-29T06:53:00Z,1.7,0,0,BKN,10
2022-12-29T07:53:00Z,1.1,5,150,BKN,10
2022-12-29T08:53:00Z,1.1,3,130,OVC,10
2022-12-29T09:53:00Z,0.6,3,130,OVC,10
2022-12-29T10:53:00Z,1.7,4,230,OVC,10
2022-12-29T11:53:00Z,1.7,3,220,OVC,10
2022-12-29T12:53:00Z,1.1,3,230,BKN,10
2022-12-29T13:53:00Z,0.6,4,270,BKN,8
2022-12-29T14:53:00Z,0.6,0,0,OVC,8
2022-12-29T15:53:00Z,1.1,4,280,OVC,8
2022-12-29T16:53:00Z,1.7,4,260,OVC,8
2022-12-29T17:53:00Z,1.7,3,0,OVC,7
2022-12-29T18:53:00Z,2.2,3,240,OVC,7
2022-12-29T19:53:00Z,2.2,7,320,OVC,7
2022-12-29T20:53:00Z,2.2,4,330,BKN,8
2022-12-29T21:53:00Z,1.7,3,290,OVC,8
2022-12-29T22:53:00Z,1.7,6,330,BKN,9
2022-12-29T23:53:00Z,0.6,6,290,OVC,8
2022-12-30T01:49:00Z,0,11,320,OVC,9
2022-12-30T02:17:00Z,-1.1,12,300,OVC,7
2022-12-30T03:45:00Z,-2.8,12,290,OVC,2.5
2022-12-30T04:47:00Z,-5,12,280,OVC,2
2022-12-30T05:46:00Z,-6.7,12,280,BKN,6
2022-12-30T06:48:00Z,-7,10,280,OVC,10
2022-12-30T07:11:00Z,-7.2,11,270,OVC,10
2022-12-30T08:00:00Z,-7.8,10,280,OVC,10
2022-12-30T08:53:00Z,-7.8,10,280,OVC,10
2022-12-30T09:53:00Z,-7.8,10,270,OVC,10
2022-12-30T10:53:00Z,-7.8,8,250,OVC,10
2022-12-30T11:53:00Z,-7.8,9,270,OVC,10
2022-12-30T13:18:00Z,-7.8,10,280,OVC,10
2022-12-30T13:53:00Z,-7.8,10,270,OVC,10
2022-12-30T14:53:00Z,-8.3,9,290,OVC,10
2022-12-30T16:28:00Z,-6.7,6,260,SCT,10
2022-12-30T16:53:00Z,-6.7,5,260,FEW,10
2022-12-30T17:53:00Z,-6.1,8,270,FEW,10
2022-12-30T18:53:00Z,-6.1,8,250,FEW,10
2022-12-30T19:53:00Z,-5,6,260,FEW,10
2022-12-30T20:53:00Z,-4.4,4,250,FEW,10
2022-12-30T21:53:00Z,-5,5,180,FEW,10
2022-12-30T22:53:00Z,-5.6,6,210,FEW,10
2022-12-30T23:53:00Z,-6.1,0,0,FEW,10
2022-12-31T00:53:00Z,-6.1,6,0,FEW,10
2022-12-31T01:53:00Z,-8.3,5,160,SCT,10
2022-12-31T03:41:00Z,-8.9,4,160,BKN,10
2022-12-31T04:20:00Z,-7.8,6,130,OVC,1
2022-12-31T05:01:00Z,-7.2,3,160,OVC,2
2022-12-31T06:27:00Z,-6.7,6,130,OVC,0.5
2022-12-31T06:53:00Z,-6.7,6,120,OVC,0.5
2022-12-31T07:53:00Z,-6.1,6,120,OVC,0.25
2022-12-31T09:01:00Z,-5.6,8,110,OVC,1
2022-12-31T10:03:00Z,-5.6,9,120,OVC,2.5
2022-12-31T10:53:00Z,-5,9,130,OVC,2
2022-12-31T12:36:00Z,-4.4,9,120,OVC,2
2022-12-31T13:38:00Z,-5,11,120,OVC,2.5
2022-12-31T14:28:00Z,-4.4,9,130,OVC,4
2022-12-31T15:08:00Z,-3.9,9,130,OVC,7
2022-12-31T16:38:00Z,-2.2,10,140,BKN,10
2022-12-31T16:53:00Z,-2.2,11,150,BKN,10
2022-12-31T17:53:00Z,-1.1,9,140,OVC,10
2022-12-31T18:53:00Z,0.6,10,150,OVC,9
2022-12-31T19:53:00Z,1.7,9,160,BKN,10
2022-12-31T20:53:00Z,2.2,10,160,BKN,10
2022-12-31T21:53:00Z,1.7,9,170,BKN,10
2022-12-31T23:15:00Z,1.7,10,170,OVC,10
2022-12-31T23:53:00Z,1.7,8,170,OVC,10
2023-01-01T00:53:00Z,2.2,8,160,OVC,10
2023-01-01T02:46:00Z,1.7,7,180,OVC,10
2023-01-01T02:53:00Z,1.7,7,180,OVC,10
2023-01-01T03:53:00Z,1.7,4,190,OVC,9
2023-01-01T04:53:00Z,1.7,4,0,OVC,8
2023-01-01T05:53:00Z,1.7,6,240,OVC,10
2023-01-01T06:53:00Z,0.6,8,240,BKN,9
2023-01-01T07:54:00Z,-0.6,8,260,BKN,8
2023-01-01T09:32:00Z,-2.2,7,260,OVC,5
2023-01-01T10:45:00Z,-1.7,6,260,OVC,7
2023-01-01T10:53:00Z,-1.7,6,270,OVC,8
2023-01-01T11:53:00Z,-1.7,6,270,OVC,9
2023-01-01T12:53:00Z,-2.2,7,240,OVC,9
2023-01-01T14:45:00Z,-2.8,6,280,OVC,4
2023-01-01T15:15:00Z,-2.8,5,250,OVC,1.5
2023-01-01T15:53:00Z,-2.8,4,290,OVC,2
2023-01-01T17:33:00Z,-2.8,6,260,OVC,5
2023-01-01T18:00:00Z,-2.8,6,240,OVC,7
2023-01-01T19:33:00Z,-1.7,4,200,BKN,8
2023-01-01T19:53:00Z,-1.1,5,220,SCT,10
2023-01-01T20:53:00Z,0,4,250,FEW,10
2023-01-01T21:53:00Z,-0.6,6,240,FEW,10
2023-01-01T22:53:00Z,-1.7,5,240,CLR,10
2023-01-01T23:53:00Z,-3.3,4,260,CLR,10
2023-01-02T00:53:00Z,-3.3,5,250,SCT,10
2023-01-02T01:53:00Z,-3.9,6,260,SCT,10
2023-01-02T03:37:00Z,-5.6,10,340,BKN,8
2023-01-02T04:19:00Z,-5.6,5,320,OVC,6
2023-01-02T04:53:00Z,-5,4,330,OVC,7
2023-01-02T05:53:00Z,-5,6,310,OVC,7
2023-01-02T07:35:00Z,-5,5,300,OVC,4
2023-01-02T07:53:00Z,-5,4,300,OVC,5
2023-01-02T09:49:00Z,-5,5,310,OVC,5
2023-01-02T09:53:00Z,-5,3,290,OVC,5
2023-01-02T11:44:00Z,-5,3,20,OVC,2
2023-01-02T11:53:00Z,-5,0,0,OVC,2
2023-01-02T13:32:00Z,-5.6,5,230,OVC,1.5
2023-01-02T14:18:00Z,-5.6,4,230,OVC,1.5
2023-01-02T14:53:00Z,-5.6,6,310,OVC,1.5
2023-01-02T15:53:00Z,-5.6,0,0,OVC,1.5
2023-01-02T17:24:00Z,-5,0,0,OVC,1.5
2023-01-02T18:45:00Z,-4.4,3,350,OVC,2.5
2023-01-02T19:33:00Z,-3.9,3,330,OVC,5
2023-01-02T20:47:00Z,-4,6,190,OVC,1
2023-01-02T21:50:00Z,-4,3,330,OVC,2
2023-01-02T22:30:00Z,-3.3,0,0,OVC,5
2023-01-02T22:53:00Z,-3.3,4,330,OVC,5
2023-01-03T00:28:00Z,-3.3,0,0,BKN,5
2023-01-03T01:45:00Z,-3.3,4,30,OVC,5
2023-01-03T02:45:00Z,-3.3,0,0,OVC,6
2023-01-03T03:42:00Z,-3.3,5,40,OVC,5
2023-01-03T04:25:00Z,-3.3,6,30,OVC,4
2023-01-03T05:46:00Z,-3.3,4,60,OVC,3
2023-01-03T05:53:00Z,-3.3,5,0,OVC,3
2023-01-03T07:30:00Z,-3.9,7,30,OVC,4
2023-01-03T08:48:00Z,-4,9,40,OVC,5
2023-01-03T09:11:00Z,-4.4,7,40,BKN,5
2023-01-03T10:39:00Z,-4.4,10,30,BKN,6
2023-01-03T11:04:00Z,-4.4,12,20,BKN,6
2023-01-03T12:41:00Z,-4.4,12,20,OVC,6
