Cover_Type,Cover_Long,Max_Coverage_pct,Temp_Celsius,Wind_Speed,Wind_Direction,Visibility,Date
BKN,Broken,0.88,-15.6,5,220,10,2022-12-27
BKN,Broken,0.88,-15.6,5,220,10,2022-12-27
SCT,Scattered,0.50,-16.1,5,200,10,2022-12-27
BKN,Broken,0.88,-16.1,0,0,10,2022-12-27
BKN,Broken,0.88,-16.1,6,180,10,2022-12-27
BKN,Broken,0.88,-16.1,5,170,10,2022-12-27
OVC,Overcast,1.00,-16.1,7,150,10,2022-12-27
OVC,Overcast,1.00,-15,7,160,10,2022-12-27
BKN,Broken,0.88,-13.9,7,130,10,2022-12-27
OVC,Overcast,1.00,-13.3,9,150,10,2022-12-27
OVC,Overcast,1.00,-12.2,9,160,10,2022-12-27
SCT,Scattered,0.50,-11.7,9,170,10,2022-12-27
BKN,Broken,0.88,-11.7,9,150,10,2022-12-27
BKN,Broken,0.88,-9.4,13,170,10,2022-12-27
BKN,Broken,0.88,-8.3,8,180,10,2022-12-27
BKN,Broken,0.88,-8.3,8,180,10,2022-12-27
BKN,Broken,0.88,-8.3,8,180,10,2022-12-27
BKN,Broken,0.88,-8.3,8,180,10,2022-12-27
BKN,Broken,0.88,-7.8,13,170,10,2022-12-27
BKN,Broken,0.88,-6.7,9,170,10,2022-12-27
BKN,Broken,0.88,-4.4,10,200,10,2022-12-27
BKN,Broken,0.88,-4.4,12,200,10,2022-12-27
BKN,Broken,0.88,-3.9,13,190,10,2022-12-27
BKN,Broken,0.88,-4.4,15,170,10,2022-12-27
BKN,Broken,0.88,-4.4,13,170,10,2022-12-27
BKN,Broken,0.88,-5.6,10,160,10,2022-12-27
BKN,Broken,0.88,-5.6,10,160,10,2022-12-28
SCT,Scattered,0.50,-6.1,10,150,10,2022-12-28
SCT,Scattered,0.50,-6.1,9,160,10,2022-12-28
SCT,Scattered,0.50,-5.6,9,150,10,2022-12-28
SCT,Scattered,0.50,-4.4,8,160,10,2022-12-28
BKN,Broken,0.88,-3.3,10,160,10,2022-12-28
BKN,Broken,0.88,-3.3,9,150,10,2022-12-28
BKN,Broken,0.88,-2.8,11,150,10,2022-12-28
BKN,Broken,0.88,-2.2,8,150,10,2022-12-28
BKN,Broken,0.88,-2.8,8,130,10,2022-12-28
BKN,Broken,0.88,-2.8,10,140,10,2022-12-28
OVC,Overcast,1.00,-2.2,8,140,10,2022-12-28
BKN,Broken,0.88,-1.7,8,140,10,2022-12-28
OVC,Overcast,1.00,-1.7,10,150,10,2022-12-28
OVC,Overcast,1.00,-0.6,7,160,10,2022-12-28
OVC,Overcast,1.00,0,7,150,10,2022-12-28
OVC,Overcast,1.00,1.1,8,160,10,2022-12-28
OVC,Overcast,1.00,1.7,11,170,10,2022-12-28
OVC,Overcast,1.00,1.7,5,170,10,2022-12-28
OVC,Overcast,1.00,2.8,8,170,10,2022-12-28
OVC,Overcast,1.00,2.8,10,160,10,2022-12-28
OVC,Overcast,1.00,2.8,8,170,10,2022-12-28
OVC,Overcast,1.00,2.2,9,160,10,2022-12-28
OVC,Overcast,1.00,2.2,5,160,10,2022-12-28
OVC,Overcast,1.00,1.7,5,160,10,2022-12-29
OVC,Overcast,1.00,1.7,7,160,10,2022-12-29
OVC,Overcast,1.00,2.2,6,170,10,2022-12-29
OVC,Overcast,1.00,2.2,5,160,10,2022-12-29
OVC,Overcast,1.00,2.2,4,150,10,2022-12-29
OVC,Overcast,1.00,1.7,8,150,10,2022-12-29
BKN,Broken,0.88,1.7,0,0,10,2022-12-29
BKN,Broken,0.88,1.1,5,150,10,2022-12-29
OVC,Overcast,1.00,1.1,3,130,10,2022-12-29
OVC,Overcast,1.00,0.6,3,130,10,2022-12-29
OVC,Overcast,1.00,1.7,4,230,10,2022-12-29
OVC,Overcast,1.00,1.7,3,220,10,2022-12-29
BKN,Broken,0.88,1.1,3,230,10,2022-12-29
BKN,Broken,0.88,0.6,4,270,8,2022-12-29
OVC,Overcast,1.00,0.6,0,0,8,2022-12-29
OVC,Overcast,1.00,1.1,4,280,8,2022-12-29
OVC,Overcast,1.00,1.7,4,260,8,2022-12-29
OVC,Overcast,1.00,1.7,3,0,7,2022-12-29
OVC,Overcast,1.00,2.2,3,240,7,2022-12-29
OVC,Overcast,1.00,2.2,7,320,7,2022-12-29
BKN,Broken,0.88,2.2,4,330,8,2022-12-29
OVC,Overcast,1.00,1.7,3,290,8,2022-12-29
BKN,Broken,0.88,1.7,6,330,9,2022-12-29
OVC,Overcast,1.00,0.6,6,290,8,2022-12-29
OVC,Overcast,1.00,0,11,320,9,2022-12-30
OVC,Overcast,1.00,-1.1,12,300,7,2022-12-30
OVC,Overcast,1.00,-2.8,12,290,2.5,2022-12-30
OVC,Overcast,1.00,-5,12,280,2,2022-12-30
BKN,Broken,0.88,-6.7,12,280,6,2022-12-30
OVC,Overcast,1.00,-7,10,280,10,2022-12-30
OVC,Overcast,1.00,-7.2,11,270,10,2022-12-30
OVC,Overcast,1.00,-7.8,10,280,10,2022-12-30
OVC,Overcast,1.00,-7.8,10,280,10,2022-12-30
OVC,Overcast,1.00,-7.8,10,270,10,2022-12-30
OVC,Overcast,1.00,-7.8,8,250,10,2022-12-30
OVC,Overcast,1.00,-7.8,9,270,10,2022-12-30
OVC,Overcast,1.00,-7.8,10,280,10,2022-12-30
OVC,Overcast,1.00,-7.8,10,270,10,2022-12-30
OVC,Overcast,1.00,-8.3,9,290,10,2022-12-30
SCT,Scattered,0.50,-6.7,6,260,10,2022-12-30
FEW,Few Clouds,0.25,-6.7,5,260,10,2022-12-30
FEW,Few Clouds,0.25,-6.1,8,270,10,2022-12-30
FEW,Few Clouds,0.25,-6.1,8,250,10,2022-12-30
FEW,Few Clouds,0.25,-5,6,260,10,2022-12-30
FEW,Few Clouds,0.25,-4.4,4,250,10,2022-12-30
FEW,Few Clouds,0.25,-5,5,180,10,2022-12-30
FEW,Few Clouds,0.25,-5.6,6,210,10,2022-12-30
FEW,Few Clouds,0.25,-6.1,0,0,10,2022-12-30
FEW,Few Clouds,0.25,-6.1,6,0,10,2022-12-31
SCT,Scattered,0.50,-8.3,5,160,10,2022-12-31
BKN,Broken,0.88,-8.9,4,160,10,2022-12-31
OVC,Overcast,1.00,-7.8,6,130,1,2022-12-31
OVC,Overcast,1.00,-7.2,3,160,2,2022-12-31
OVC,Overcast,1.00,-6.7,6,130,0.5,2022-12-31
OVC,Overcast,1.00,-6.7,6,120,0.5,2022-12-31
OVC,Overcast,1.00,-6.1,6,120,0.25,2022-12-31
OVC,Overcast,1.00,-5.6,8,110,1,2022-12-31
OVC,Overcast,1.00,-5.6,9,120,2.5,2022-12-31
OVC,Overcast,1.00,-5,9,130,2,2022-12-31
OVC,Overcast,1.00,-4.4,9,120,2,2022-12-31
OVC,Overcast,1.00,-5,11,120,2.5,2022-12-31
OVC,Overcast,1.00,-4.4,9,130,4,2022-12-31
OVC,Overcast,1.00,-3.9,9,130,7,2022-12-31
BKN,Broken,0.88,-2.2,10,140,10,2022-12-31
BKN,Broken,0.88,-2.2,11,150,10,2022-12-31
OVC,Overcast,1.00,-1.1,9,140,10,2022-12-31
OVC,Overcast,1.00,0.6,10,150,9,2022-12-31
BKN,Broken,0.88,1.7,9,160,10,2022-12-31
BKN,Broken,0.88,2.2,10,160,10,2022-12-31
BKN,Broken,0.88,1.7,9,170,10,2022-12-31
OVC,Overcast,1.00,1.7,10,170,10,2022-12-31
OVC,Overcast,1.00,1.7,8,170,10,2022-12-31
OVC,Overcast,1.00,2.2,8,160,10,2023-01-01
OVC,Overcast,1.00,1.7,7,180,10,2023-01-01
OVC,Overcast,1.00,1.7,7,180,10,2023-01-01
OVC,Overcast,1.00,1.7,4,190,9,2023-01-01
OVC,Overcast,1.00,1.7,4,0,8,2023-01-01
OVC,Overcast,1.00,1.7,6,240,10,2023-01-01
BKN,Broken,0.88,0.6,8,240,9,2023-01-01
BKN,Broken,0.88,-0.6,8,260,8,2023-01-01
OVC,Overcast,1.00,-2.2,7,260,5,2023-01-01
OVC,Overcast,1.00,-1.7,6,260,7,2023-01-01
OVC,Overcast,1.00,-1.7,6,270,8,2023-01-01
OVC,Overcast,1.00,-1.7,6,270,9,2023-01-01
