Type,Station,Observed_Date,Temp_Celsius,DewPoint_Celsius,Wind_Speed,Wind_Direction,Cover,Visibility,Observation,Logged_Date
"METAR","KMSP","2022-12-27T02:53:00Z",-15.6,-20,5,220,"BKN",10,"KMSP 270253Z 22005KT 10SM BKN250 M16/M20 A3022 RMK AO2 SLP256 T11561200 55012 $",2022.12.26-21.18.13
"METAR","KMSP","2022-12-27T02:53:00Z",-15.6,-20,5,220,"BKN",10,"KMSP 270253Z 22005KT 10SM BKN250 M16/M20 A3022 RMK AO2 SLP256 T11561200 55012 $",2022.12.26-21.20.01
"METAR","KMSP","2022-12-27T03:53:00Z",-16.1,-21.1,5,200,"SCT",10,"KMSP 270353Z 20005KT 10SM FEW190 SCT250 M16/M21 A3020 RMK AO2 SLP248 T11611211 $",2022.12.26-22.20.01
"METAR","KMSP","2022-12-27T04:53:00Z",-16.1,-20.6,0,0,"BKN",10,"KMSP 270453Z 00000KT 10SM SCT200 BKN250 M16/M21 A3019 RMK AO2 SLP244 T11611206 $",2022.12.26-23.20.01
"METAR","KMSP","2022-12-27T05:53:00Z",-16.1,-20.6,6,180,"BKN",10,"KMSP 270553Z 18006KT 10SM BKN140 M16/M21 A3015 RMK AO2 SLP231 4/009 T11611206 11133 21167 411001167 58022 $",2022.12.27-00.20.01
"METAR","KMSP","2022-12-27T06:53:00Z",-16.1,-20.6,5,170,"BKN",10,"KMSP 270653Z 17005KT 10SM BKN140 M16/M21 A3012 RMK AO2 SLP220 T11611206 $",2022.12.27-01.20.01
"METAR","KMSP","2022-12-27T07:53:00Z",-16.1,-20.6,7,150,"OVC",10,"KMSP 270753Z 15007KT 10SM OVC110 M16/M21 A3006 RMK AO2 SLP201 T11611206 $",2022.12.27-02.20.02
"METAR","KMSP","2022-12-27T08:53:00Z",-15,-20,7,160,"OVC",10,"KMSP 270853Z 16007KT 10SM OVC110 M15/M20 A3004 RMK AO2 SLP193 T11501200 56036 $",2022.12.27-03.20.01
"METAR","KMSP","2022-12-27T09:53:00Z",-13.9,-19.4,7,130,"BKN",10,"KMSP 270953Z 13007KT 10SM BKN110 M14/M19 A3000 RMK AO2 SLP177 T11391194 $",2022.12.27-04.20.01
"METAR","KMSP","2022-12-27T10:53:00Z",-13.3,-18.9,9,150,"OVC",10,"KMSP 271053Z 15009KT 10SM OVC095 M13/M19 A2995 RMK AO2 SLP161 T11331189 $",2022.12.27-05.20.01
"METAR","KMSP","2022-12-27T11:53:00Z",-12.2,-17.8,9,160,"OVC",10,"KMSP 271153Z 16009KT 10SM OVC090 M12/M18 A2991 RMK AO2 SLP147 4/009 T11221178 11122 21167 56044 $",2022.12.27-06.20.01
"METAR","KMSP","2022-12-27T12:53:00Z",-11.7,-17.2,9,170,"SCT",10,"KMSP 271253Z 17009KT 10SM SCT090 M12/M17 A2986 RMK AO2 SLP132 T11171172",2022.12.27-07.20.01
"METAR","KMSP","2022-12-27T13:53:00Z",-11.7,-16.7,9,150,"BKN",10,"KMSP 271353Z 15009KT 10SM SCT080 BKN120 BKN250 M12/M17 A2985 RMK AO2 SLP127 T11171167 $",2022.12.27-08.20.01
"METAR","KMSP","2022-12-27T14:53:00Z",-9.4,-15.6,13,170,"BKN",10,"KMSP 271453Z 17013KT 10SM FEW090 BKN250 M09/M16 A2980 RMK AO2 SLP111 T10941156 56035 $",2022.12.27-09.20.01
"METAR","KMSP","2022-12-27T15:53:00Z",-8.3,-14.4,8,180,"BKN",10,"KMSP 271553Z 18008KT 10SM BKN250 M08/M14 A2979 RMK AO2 SLP108 T10831144 $",2022.12.27-10.20.01
"METAR","KMSP","2022-12-27T15:53:00Z",-8.3,-14.4,8,180,"BKN",10,"KMSP 271553Z 18008KT 10SM BKN250 M08/M14 A2979 RMK AO2 SLP108 T10831144 $",2022.12.27-10.49.38
"METAR","KMSP","2022-12-27T15:53:00Z",-8.3,-14.4,8,180,"BKN",10,"KMSP 271553Z 18008KT 10SM BKN250 M08/M14 A2979 RMK AO2 SLP108 T10831144 $",2022.12.27-10.52.01
"METAR","KMSP","2022-12-27T15:53:00Z",-8.3,-14.4,8,180,"BKN",10,"KMSP 271553Z 18008KT 10SM BKN250 M08/M14 A2979 RMK AO2 SLP108 T10831144 $",2022.12.27-10.55.01
"METAR","KMSP","2022-12-27T16:53:00Z",-7.8,-13.9,13,170,"BKN",10,"KMSP 271653Z 17013G18KT 10SM FEW150 BKN250 M08/M14 A2975 RMK AO2 SLP092 T10781139 $",2022.12.27-11.55.02
"METAR","KMSP","2022-12-27T17:53:00Z",-6.7,-12.8,9,170,"BKN",10,"KMSP 271753Z 17009KT 150V220 10SM FEW150 BKN250 M07/M13 A2972 RMK AO2 SLP082 4/009 T10671128 11067 21122 58027 $",2022.12.27-12.55.01
"METAR","KMSP","2022-12-27T18:53:00Z",-4.4,-10.6,10,200,"BKN",10,"KMSP 271853Z 20010G19KT 10SM FEW150 BKN250 M04/M11 A2968 RMK AO2 SLP066 T10441106 $",2022.12.27-13.55.01
"METAR","KMSP","2022-12-27T19:53:00Z",-4.4,-10,12,200,"BKN",10,"KMSP 271953Z 20012KT 10SM FEW150 BKN250 M04/M10 A2965 RMK AO2 PK WND 23026/1919 SLP055 T10441100",2022.12.27-14.55.01
"METAR","KMSP","2022-12-27T20:53:00Z",-3.9,-9.4,13,190,"BKN",10,"KMSP 272053Z 19013G23KT 10SM FEW150 BKN250 M04/M09 A2962 RMK AO2 SLP046 T10391094 56034",2022.12.27-15.55.01
"METAR","KMSP","2022-12-27T21:53:00Z",-4.4,-10,15,170,"BKN",10,"KMSP 272153Z 17015KT 10SM SCT150 BKN250 M04/M10 A2960 RMK AO2 SLP040 T10441100",2022.12.27-16.55.01
"METAR","KMSP","2022-12-27T22:53:00Z",-4.4,-9.4,13,170,"BKN",10,"KMSP 272253Z 17013KT 10SM BKN130 BKN200 M04/M09 A2961 RMK AO2 SLP043 T10441094",2022.12.27-17.55.01
